run_name,task,train_seed,checkpoint_path,horizon,supported,unsupported_reason,oracle_samples,oracle_shadow_violation_rate,oracle_current_only_violation_rate,oracle_mean_violation_rate,oracle_executed_violation_rate,corridor_minus_current_violation,corridor_risk_lift_mean,shadow_minus_mean_violation,shadow_risk_precision,shadow_risk_recall,shadow_risk_AUROC,predicted_actual_cost_correlation,unsafe_found_but_not_deployed_rate
starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s12,SafetyCarGoal1-v0,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s12/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13,SafetyCarGoal1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13,SafetyCarGoal1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14,SafetyCarGoal1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14,SafetyCarGoal1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10,SafetyPointButton1-v0,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10,SafetyPointButton1-v0,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11,SafetyPointButton1-v0,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11,SafetyPointButton1-v0,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12,SafetyPointButton1-v0,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12,SafetyPointButton1-v0,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13,SafetyPointButton1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13,SafetyPointButton1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14,SafetyPointButton1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14,SafetyPointButton1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10,SafetyPointGoal1-v0,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10,SafetyPointGoal1-v0,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11,SafetyPointGoal1-v0,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11,SafetyPointGoal1-v0,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12,SafetyPointGoal1-v0,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12,SafetyPointGoal1-v0,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13,SafetyPointGoal1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13,SafetyPointGoal1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14,SafetyPointGoal1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14,SafetyPointGoal1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,,,,
