run_name,task,train_seed,checkpoint_path,horizon,state_index,supported,unsupported_reason,actor_mean_h_violation,current_only_h_violation,corridor_h_violation,actor_mean_h_cost,current_only_h_cost,corridor_h_cost,predicted_actor_risk,predicted_current_risk,predicted_corridor_risk
starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13,SafetyCarGoal1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13,SafetyCarGoal1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14,SafetyCarGoal1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14,SafetyCarGoal1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10,SafetyPointButton1-v0,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10,SafetyPointButton1-v0,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11,SafetyPointButton1-v0,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11,SafetyPointButton1-v0,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12,SafetyPointButton1-v0,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12,SafetyPointButton1-v0,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13,SafetyPointButton1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13,SafetyPointButton1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14,SafetyPointButton1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14,SafetyPointButton1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10,SafetyPointGoal1-v0,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10,SafetyPointGoal1-v0,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11,SafetyPointGoal1-v0,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11,SafetyPointGoal1-v0,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12,SafetyPointGoal1-v0,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12,SafetyPointGoal1-v0,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13,SafetyPointGoal1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13,SafetyPointGoal1-v0,13,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14,SafetyPointGoal1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,1,,False,'NoneType' object has no attribute 'model',,,,,,,,,
starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14,SafetyPointGoal1-v0,14,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14/checkpoint/final.torch,5,,False,'NoneType' object has no attribute 'model',,,,,,,,,
